arrest_id,has_felony_charge
2461886,False
2463255,False
2464522,False
2465575,True
2467641,False
2468286,False
2469768,False
2469780,False
2469881,False
2470068,False
2470097,False
2470132,False
2470147,False
2470994,False
2471237,False
2471335,False
2471362,False
2471631,False
2471780,False
2471781,False
2471793,False
2471906,False
2473175,False
2473872,False
2475709,False
2475986,False
2476466,False
2476698,False
2477078,False
2477268,True
2477873,False
2479030,False
2479108,False
2480379,False
2480566,False
2481884,False
2484371,True
2493425,False
2493505,False
2493634,True
2493668,False
2493860,False
2494019,False
2494317,False
2494446,False
2494565,False
2494743,False
2494788,False
2495620,False
2495718,False
2495753,False
2495922,False
2495991,False
2496055,False
2496066,False
2496135,False
2496648,False
2496832,True
2496894,False
2497084,False
2497262,False
2497263,False
2497270,True
2497438,True
2497440,False
2497586,False
2497588,True
2497687,False
2497725,False
2498226,False
2499215,False
2500424,False
2501120,False
2501506,False
2502337,False
2502394,False
2502612,False
2502857,False
2503063,False
2503118,False
2503775,False
2503901,False
2504235,False
2504325,False
2504836,False
2505946,False
2506623,False
2507804,False
2507828,False
2508099,True
2508337,False
2508811,False
2509024,False
2509066,False
2509188,False
2509296,False
2510016,False
2510924,False
2511545,True
2514527,False
2516205,False
2518352,False
2519418,False
2519836,False
2520471,False
2520692,False
2520797,False
2521278,False
2522214,True
2523848,False
2524562,False
2524581,False
2524813,False
2524887,False
2526093,False
2526964,False
2527603,False
2529267,False
2530170,True
2530186,False
2531189,False
2531324,False
2531418,False
2531431,False
2531930,False
2531988,False
2532133,True
2532278,False
2532317,False
2532349,False
2532395,False
2532501,False
2532506,True
2533115,True
2533754,False
2534083,False
2534296,True
2534416,True
2534424,False
2534860,False
2535163,False
2539277,True
2541327,False
2541430,False
2541457,False
2541604,False
2542464,False
2542479,True
2542524,False
2542747,False
2542967,False
2546469,False
2548293,False
2550666,False
2550667,False
2551236,False
2551495,True
2551523,False
2551926,False
2552342,False
2552746,False
2556271,False
2556502,False
2557167,False
2557894,False
2559017,False
2559825,False
2560460,False
2560529,False
2561466,False
2566084,False
2566633,False
2567978,False
2568264,False
2569269,False
2569553,False
2569747,True
2570457,False
2570576,False
2570593,False
2571722,True
2572652,False
2573054,False
2573154,True
2573233,False
2573234,True
2573290,False
2573404,False
2573422,True
2573688,False
2574208,False
2574587,False
2574588,False
2575043,True
2575070,False
2576048,False
2576070,False
2576135,False
2576152,False
2576158,False
2576173,False
2576332,False
2576348,False
2576435,False
2576825,False
2576960,False
2578014,False
2578736,False
2580456,False
2581154,False
2583029,True
2583087,False
2583894,False
2584099,False
2584276,False
2589684,False
2590053,False
2590098,False
2592019,False
2592066,False
2592320,False
2592332,False
2592446,False
2592466,False
2592505,True
2592547,False
2592726,True
2594310,False
2596727,True
2596938,False
2597413,False
2598383,False
2599703,False
2599775,False
2600358,False
2600716,False
2601933,False
